Title;Simulation;Agriculture & Food;Art;Convention Industry;E-Commerce;Education;Entertainment;Finance;Healthcare;Infrastructure;Manufacturing;Public Sector;Real-Estate;Research;Social Sector;Sport;Tourism;Avatar;Environment;Interaction;Year
Digital Health Professions Education in the Field of Pediatrics: Systematic Review and Meta-Analysis by the Digital Health Education Collaboration;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2019
Virtual Surgery for the Nasal Airway;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2018
Development and assessment of CootVR, a virtual reality computer program for model building;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2021
Using smartphone-delivered stereoscopic vision in microsurgery: a feasibility study;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;;2019
Virtual Reality Provides an Effective Platform for Functional Evaluations of Closed-Loop Neuromyoelectric Control;Digital Twin;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2019
UnityMol prototype for FAIR sharing of molecular-visualization experiences: from pictures in the cloud to collaborative virtual reality exploration in immersive 3D environments;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2021
Visualizing biomolecular electrostatics in virtual reality with UnityMol-APBS;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2020
Biosignal-Based Human–Machine Interfaces for Assistance and Rehabilitation: A Survey;Simulation;;;;;;;;Healthcare;;;;;;;;;Avatar;Environment;Interaction;2021
Foveation Pipeline for 360 degrees Video-Based Telemedicine;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2020
Quantifying the alignment error and the effect of incomplete somatosensory feedback on motor performance in a virtual brain–computer-interface setup;Simulation;;;;;;;;Healthcare;;;;;;;;;Avatar;Environment;Interaction;2021
Human-In-The-Loop Assessment of an Ultralight, Low-Cost Body Posture Tracking Device;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2020
Assessing reactive violence using Immersive Virtual Reality;Simulation;;;;;;;;Healthcare;;;;;;;;;Avatar;Environment;Interaction;2022
Font Design Optimization Model for New Media Short Video Based on Virtual Reality Digital Processing Technology;Simulation;;Art & Design;;;;;;;;;;;;;;;;Environment;Interaction;2022
A Method for 3D Reconstruction and Virtual Reality Analysis of Glial and Neuronal Cells;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2019
Predicting driving speed from psychological metrics in a virtual reality car driving simulation;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2022
Effectiveness of robot-assisted virtual reality mirror therapy for upper limb motor dysfunction after stroke: study protocol for a single-center randomized controlled clinical trial;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;;2022
Development of an Integrated Virtual Reality System with Wearable Sensors for Ergonomic Evaluation of Human–Robot Cooperative Workplaces;Simulation;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2022
Effect of 3-Dimensional Virtual Reality Models for Surgical Planning of Robotic-Assisted Partial Nephrectomy on Surgical Outcomes: A Randomized Clinical Trial | Minimally Invasive Surgery | JAMA Network Open | JAMA Network;Simulation;;;;;;;;Healthcare;;;;;;;;;;;;
Development of a virtual reality platform for effective communication of structural data in drug discovery;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2019
